1579654312.722226997 1 x.bidswitch.net alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 119
1579654312.722226997 2 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 51
1579654312.722226997 3 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 51
1579654312.722226997 4 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 51
1579654312.722226997 5 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 51
1579654312.722226997 6 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 51
1579654312.722226997 7 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 51
1579654312.722226997 8 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com 51
1579654312.722226997 9 alb-aws-fr-bswx-3-1125904451.eu-central-1.elb.amazonaws.com x.bidswitch.net 51
1579654312.735936899 1 ads.pubmatic.com pubmatic.edgekey.net 790
1579654312.735936899 2 pubmatic.edgekey.net e6603.g.akamaiedge.net 18493
1579654312.735936899 3 e6603.g.akamaiedge.net ads.pubmatic.com 19
1579654312.740176334 1 rtb.gumgum.com rtb.gumgum.com 59
1579654312.740176334 2 rtb.gumgum.com rtb.gumgum.com 59
1579654312.740176334 3 rtb.gumgum.com rtb.gumgum.com 59
1579654312.740176334 4 rtb.gumgum.com rtb.gumgum.com 59
1579654312.740176334 5 rtb.gumgum.com rtb.gumgum.com 59
1579654312.740176334 6 rtb.gumgum.com rtb.gumgum.com 59
1579654312.740176334 7 rtb.gumgum.com rtb.gumgum.com 59
1579654312.740176334 8 rtb.gumgum.com rtb.gumgum.com 59
1579654312.740470156 1 us-u.openx.net us-u.openx.net 299
1579654312.791469872 1 trc.taboola.com f2.taboola.map.fastly.net 11561
1579654312.791469872 2 f2.taboola.map.fastly.net f2.taboola.map.fastly.net 29
1579654312.791469872 3 f2.taboola.map.fastly.net f2.taboola.map.fastly.net 29
1579654312.791469872 4 f2.taboola.map.fastly.net f2.taboola.map.fastly.net 29
