1579794181.690229897 8 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 9 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 10 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 11 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 12 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 13 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 14 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 15 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 16 cdn-advert.smi2.net cdn-advert.smi2.net 354
1579794181.690229897 17 cdn-advert.smi2.net static2.smi2.net 354
1579794181.701037225 1 static3.smi2.net cdn-advert.smi2.net 111
1579794181.701037225 2 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 3 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 4 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 5 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 6 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 7 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 8 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 9 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 10 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 11 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 12 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 13 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 14 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 15 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 16 cdn-advert.smi2.net cdn-advert.smi2.net 330
1579794181.701037225 17 cdn-advert.smi2.net static3.smi2.net 330
1579794181.701311069 1 static4.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 2 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 3 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 4 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 5 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 6 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 7 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 8 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 9 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 10 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 11 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 12 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 13 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 14 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 15 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 16 cdn-advert.smi2.net cdn-advert.smi2.net 110
1579794181.701311069 17 cdn-advert.smi2.net static4.smi2.net 110
1579794181.702476471 1 a2.smi2.ru news.smi2.ru 82
1579794181.702476471 2 news.smi2.ru news.smi2.ru 82
1579794181.702476471 3 news.smi2.ru news.smi2.ru 82
1579794181.702476471 4 news.smi2.ru news.smi2.ru 82
1579794181.702476471 5 news.smi2.ru news.smi2.ru 82
1579794181.702476471 6 news.smi2.ru news.smi2.ru 82
1579794181.702476471 7 news.smi2.ru news.smi2.ru 82
1579794181.702476471 8 news.smi2.ru news.smi2.ru 82
1579794181.702476471 9 news.smi2.ru news.smi2.ru 82
1579794181.702476471 10 news.smi2.ru news.smi2.ru 82
1579794181.702476471 11 news.smi2.ru news.smi2.ru 82
1579794181.702476471 12 news.smi2.ru news.smi2.ru 82
1579794181.702476471 13 news.smi2.ru news.smi2.ru 82
1579794181.702476471 14 news.smi2.ru news.smi2.ru 82
1579794181.702476471 15 news.smi2.ru news.smi2.ru 82
1579794181.702476471 16 news.smi2.ru news.smi2.ru 82
1579794181.702476471 17 news.smi2.ru a2.smi2.ru 82
1579794182.367754000 1 static6.smi2.net cdn-advert.smi2.net 498
1579794182.367754000 2 cdn-advert.smi2.net cdn-advert.smi2.net 498
